Вакансия,URL,Компания,Описание
Системный аналитик,https://ekaterinburg.hh.ru/vacancy/31237349?query=python,АО Стройдормаш,"1. Сбор, анализ и документирование требований (интервьюирование заказчиков). 2. Формализация требований заказчика: - согласование требований с заказчиком, для одинакового их восприятия... Навыки работы с ERP. 4. Понимание языка программирования C#, Fox, Python. Требования к специальным знаниям умениям и навыкам. 1. "
Data Scientist,https://ekaterinburg.hh.ru/vacancy/31061341?query=python, СКБ Контур,"Создание маркетинговых моделей для всех продуктов Контура: продажи, продление, отток, реклама, размер чека, LTV. Поиск упоминаний об организациях.  Знакомы с методами обработки естественных языков и соответствующими библиотеками (Gensim, NLTK, SpaCy, BigARTM и др.)."
Data Scientist,https://ekaterinburg.hh.ru/vacancy/30930885?query=python, Восточный Ветер,"Обработкой больших массивов данных. Классификацией и кластеризацией. Социальными графами и алгоритмами из области social network analysis. Подбором рекомендаций.  Опыт работы с библиотеками анализа данных в python или другими инструментами анализа: R, Weka, Matlab, MS Analysis Services и др.. "
Java/Groovy разработчик,https://ekaterinburg.hh.ru/vacancy/22949683?query=python,ООО СКБ ЛАБ, Знание классических алгоритмов и структур данных. Знание Python/Angular2+/HTML будет плюсом. Стремление повышать собственный уровень профессиональной квалификации. 
Разработчик,https://ekaterinburg.hh.ru/vacancy/31450551?query=python, Carbon Soft, Опыт работы с ОС Linux. Опыт программирования на любых скриптовых языках. Понимание работы сетевых протоколов. Приветствуются навыки: Знание iptables. 
QA engineer,https://ekaterinburg.hh.ru/vacancy/27410451?query=python,ПАО МТС,"Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Вы будете контролировать... Стек технологий: Oracle, MySQL, PostgreSQL, C#, Java, Python, HTML, CSS, JSON, SOAP, HTTP, TCP/IP, LINUX, Windows. Опыт, на который..."
Frontend разработчик,https://ekaterinburg.hh.ru/vacancy/31430682?query=python, Softline,"Разработка интерфейса платформы ROBOVOIСE. Участие в проектировании и выборе технологий. Работа в команде с инженерами и Backend-разработчиками. Опыт Front-end разработки от 1 года. Знание и понимание HTML5, CSS3 + понимание БЭМ методологии. "
Программист-разработчик (машинное обучение) (г.Казань),https://ekaterinburg.hh.ru/vacancy/30864846?query=python, Федеральная сеть шинных центров 5Колесо,"Разработка чат-ботов. Автоматизация управления компании. Анализ и выработка рекомендаций на основе данных компании. Знание и опыт в Machine Learning, Deep Learning. Знания и опыт программирования на Python, C++. Готовность работать на территории работодателя."
Linux программист на C,https://ekaterinburg.hh.ru/vacancy/31061611?query=python,ООО СкайДНС,"Поддержка и развитие высоконагруженной облачной системы фильтрации и защиты от сетевых угроз. Опыт разработки на языке C. Знание Python, Bash. Знание принципов работы и протоколов интернет. Большим плюсом будет наличие собственных проектов..."
Инженер-программист С++ (QNX),https://ekaterinburg.hh.ru/vacancy/28281647?query=python,ООО Прософт-Системы,"Разработка и сопровождение системного ПО на С++ под QNX/Linux. Анализ и поиск проблем в работе устройства/доработка существующего ПО. Опыт разработки драйверов для QNX либо Linux. Опыт написания скриптов на Bash/Python. Опыт работы с системами контроля версий, желательно..."
Инженер-программист по тестированию,https://ekaterinburg.hh.ru/vacancy/25806992?query=python,ООО Прософт-Системы,"Составление тест-дизайна, тест кейсов. Разработка и сопровождение автоматических тестов. Выполнение ручного тестирования. Создание тесовой документации. Базовые знания электроники и схемотехники. Опыт программирования на одном из скриптовых языков: Python, bash, windows cmd. Умение работать с системами..."
Middle DevOps,https://ekaterinburg.hh.ru/vacancy/28215582?query=python, АвтоКод,"Имеешь базовые представления об автоматизации процесса тестирования образов приложений, готовящихся к релизу. Умеешь находить и предлагать те инструменты (решения, подходы... Микро-) сервисную архитектуру – мы не строим ""монолиты"", которые сложно поддерживать. Используем docker везде, где только возможно. ""Архитектуру как код"". "
Программист,https://ekaterinburg.hh.ru/vacancy/30910721?query=python, ИНСИС," Опыт работы с Linux, владение командной строкой. Опыт программирования на Python. Опыт работы с Docker. Наличие собственных проектов/профиль на..."
React разработчик,https://ekaterinburg.hh.ru/vacancy/29844909?query=python, Восточный Ветер,"Импорт и экспорт данных. Создание предсказательных моделей. Исследование данных в привычном интерфейсе jupyter. Мониторинг этапов обработки данных. ...Angular, VueJS, KnockoutJS). Базовые знание других языков программирования (Java, C#, Python, Ruby). Способность исследовать новые технологии и принимать архитектурные решения."
DevOps инженер,https://ekaterinburg.hh.ru/vacancy/24546955?query=python, ЭР-Телеком,"Автоматизацию процессов разработки ПО (CI / CD). Обеспечение мониторинга работоспособности всех компонентов Backend 3.0. Реагирование на инциденты. Работу в команде... Опыт разработки на backend на любом серверном языке программирования (Java, PHP, Python, ASP.NET / C#, ...). Опыт администрирования серверов на linux-based..."
Java разработчик (middle),https://ekaterinburg.hh.ru/vacancy/27362765?query=python, Восточный Ветер,"Для работы над проектами компании мы ищем Java разработчиков: первый проект - разработка новой системы учета платежей и расчета начислений для... ...Опыт работы с современными фреймворками и библиотеками на JS ( AngularJS, Angular, React, Vue). Знание других языков программирования ( C#, Ruby, Python)."
Тестировщик ПО,https://ekaterinburg.hh.ru/vacancy/31355193?query=python,ООО НАГ,"Проведение ручного, функционального и интеграционного тестирования web-приложений (кроссбраузерное, конечно же). Приемка задач, выполненных программистами. Выявление, документирование ошибок, передача на... Базовые знания одного или нескольких скриптовых языков (PHP, JS, Python, bash). Минимальный опыт работы с системами контроля версий. "
Сетевой инженер (г. Екатеринбург),https://ekaterinburg.hh.ru/vacancy/31130955?query=python,ООО ТРАСТ-НОРД,"Обработка поступающих заявок в системе ServiceDesk (2-я линия). Управление КСПД (корпоративная сеть передачи данных) компании. Внедрение новых технологий, развитие... Опыт работы с телефонией (Cisco CME, Asterisk). Умение автоматизировать свою работу (Bash, Python, PowerShell). Опыт работы с системами мониторинга Zabbix..."
DevOps инженер,https://ekaterinburg.hh.ru/vacancy/28306648?query=python,ООО Айдеко,"Наши продукты IDECO UTM - шлюз безопасности; система контентной фильтрации IDECO SELECTA; IDECO MESH - позволяет использовать интернет в любой точке покрытия... Опыт работы с системами виртуализации. - Опыт в администрировании linux. - Знание Python, Bash. Приветствуется: - Умение администрировать ceph. - Опыт работы с 1..."
Junior java/kotlin developer,https://ekaterinburg.hh.ru/vacancy/30888005?query=python, АвтоКод,Code review. Положительно относимся к освоению других новых технологий. Понимаешь концепцию ООП. Unlimited coffee with cookies.
Middle java/kotlin developer,https://ekaterinburg.hh.ru/vacancy/29598444?query=python, АвтоКод,"Code review. Положительно относимся к освоению других новых технологий. Знаком с инструментами тестирования ПО (junit, mocks). Понимаешь концепцию ООП и REST. Знаешь и используешь Git, Maven или Gradle. Готовность предоставить примеры кода. Unlimited coffee with cookies."
BIM-координатор,https://ekaterinburg.hh.ru/vacancy/31436956?query=python,ООО Инженерный центр СтройЭксперт,"Участие в разработке плана выполнения BIM-проекта (BEP). - Консультирование и обучение специалистов методам работы в Autodesk Revit. - Актуализация шаблонов проектирования... Умение работать в программных продуктах Autodesk Revit, Navisworks. Желательно: - Наличие сертификата обучения Autodesk. - Знание языков программирования Dynamo, Python, C# с..."
Ведущий системный администратор (Linux),https://ekaterinburg.hh.ru/vacancy/27642024?query=python,ООО БАНК НЕЙВА,"установка и настройка прикладного программного обеспечения для администрирования систем управления базами данных. - управление резервным копированием и восстановлением баз данных. -  умение писать и модифицировать скрипты на shell, приветствуется знание скриптовых языков Perl\Python. - приветствуется знание *nix — систем, работа в консоли. - "
