Likes,Body,Url_photo
107,"Все модели в Oddworld: Soulstorm трёхмерные, а геймплей похож на платформер с перемещением в двух измерениях. Но иногда персонажи двигаются и вглубь экрана. 

https://stopgame.ru/newsdata/38197",http://comicconrussia.ru/
136,"На сайте тайваньской возрастной комиссии отыскали версию Ghostbusters: The Video Game для Xbox One. Называется она просто — Ghostbusters: The Video Game Remastered.

https://stopgame.ru/newsdata/38198",http://comicconrussia.ru/
152,"A Plague Tale: Innocence 
🐁 В 20:00 на twitch.tv/stopgameru
Даур и Катерина в зоне драматического карантина.",http://comicconrussia.ru/
267,"Бокс-арт пятой Gears of War. Если верить сливу, игра выйдет 10 сентября на Xbox One.",http://comicconrussia.ru/
212,"Наш видеообзор Rage 2 (stopga.me/104312) вы, надеемся, посмотрели — теперь давайте послушаем мнения остальных

 https://stopgame.ru/newsdata/38196",http://comicconrussia.ru/
88,"Изначально Ryse: Son of Rome носила кодовое название Codename Kingdoms. Энтузиаст Cheese007 раздобыл девкит Xbox 360 и обнаружил там ранний прототип.

https://stopgame.ru/newsdata/38195",http://comicconrussia.ru/
138,"Чем ближе к релизу A Plague Tale: Innocence, тем чаще авторы уделяют внимание не полчищам мерзких крыс, а сюжетной драме главных героев

https://stopgame.ru/newsdata/38194",http://comicconrussia.ru/
385,"«Мир Тьмы» — вселенная, где происходят события Vampire: The Masquerade. Про Bloodlines 2 мы знаем достаточно, но скоро должна выйти ещё одна видеоигра.

https://stopgame.ru/newsdata/38193",http://comicconrussia.ru/
347,"💥 В начале мая в Голливуде прошла презентация Borderlands 3. Представлял игру Рэнди Питчфорд, который успел вляпаться в кучу скандалов. К счастью, на качестве лутер-шутера это не сказалось. Три часа мы отстреливали врагов из миллиарда разных пушек, о чём и расскажем в репортаже.

stopga.me/104311",https://stopgame.ru/show/104311/poigrali_v_borderlands_3_vooruzh_nnaya_zhertva_epic_games_store
112,"Создателям Marvel Ultimate Alliance 3 явно не навязывали сходство с фильмами о Мстителях — персонажи выглядят иначе, а в списке героев большие изменения

https://stopgame.ru/newsdata/38192",https://stopgame.ru/show/104311/poigrali_v_borderlands_3_vooruzh_nnaya_zhertva_epic_games_store
517,Близится трейлер фильма «Терминатор: Темные судьбы»,https://stopgame.ru/show/104311/poigrali_v_borderlands_3_vooruzh_nnaya_zhertva_epic_games_store
207,"Новую Stronghold покажут на E3, уровни Wolfenstein: Youngblood демонстрируют черты игр Arkane Studios; Rage 2 представляет расширение для Twitch, готовится Predator: Hunting Grounds, Battlefield V: Firestorm теряет один режим, Monster Hunter World: Iceborne мчится к релизу, а Titan Quest получает аддон Atlantis.

• Второй выпуск State of Play — stopgame.ru/newsdata/38170 
• Подробнее о Stronghold Next — stopgame.ru/newsdata/38182 
• Сравнение двух версий ремейка Final Fantasy VII — stopgame.ru/newsdata/38188 
• Обзор Fell Seal: Arbiter's Mark — stopga.me/104291
• Геймпады, которые подходят не всем — stopga.me/104282",https://stopgame.ru/show/104307/infact_13_05_2019
146,"«Одиссея» продолжает обрастать всё бо́льшим количеством контента. Ubisoft рассказала, что нам стоит ожидать до конца мая.

https://stopgame.ru/newsdata/38191",https://stopgame.ru/show/104307/infact_13_05_2019
173,"Получить в лицо от Питчфорда, встретить призраков и переродиться благодаря Кори Барлогу.... Жить надо так, чтобы об этом написали в материалах за неделю.",https://stopgame.ru/show/104307/infact_13_05_2019
125,"Изначально планировалось, что Outer Wilds выйдет во втором квартале 2016-го на PC/Linux/Mac через Steam. Планы изменились.

https://stopgame.ru/newsdata/38190",https://stopgame.ru/show/104307/infact_13_05_2019
137,"🔮 Fell Seal: Arbiter's Mark — это тактическая RPG в духе японской классики жанра. Дебютный проект 6 Eyes Studio, состоящей ровно из двух человек. Силами такой небольшой команды им удалось выпустить игру, которую многие сразу же назвали первой за последние годы достойной наследницей Final Fantasy Tactics.

stopga.me/104291",http://stopga.me/104291
211,"Выбирайте, релиз RDR2 в Steam или Epic Games Store? Разработчики выпустят в том сервисе, который будет упоминаться в комментариях под постом чаще.

https://stopgame.ru/newsdata/38189",http://stopga.me/104291
150,"🏃 Иван Лоев и Катерина Краснопольская пытаются выбраться из Элизиума. Смотрите сейчас!

twitch.tv/stopgameru
twitch.tv/stopgameru",http://stopga.me/104291
93,"Мало ТВ-спотов «Аладдина» не бывает, Disney ежедневно помогает",http://stopga.me/104291
189,"Сегодня в 20:00 🏃 twitch.tv/stopgameru

Hades всё ещё томится в раннем доступе, но разработчики исправно снабжают игру апдейтами. На днях вышло крупное обновление The Beefy Update, добавляющее новый уровень Царства Мёртвых — Элизиум. Катерина Краснопольская и Иван Лоев попытаются выбраться из него в прямом эфире.",http://stopga.me/104291
673,"Если верить редактору Kotaku Джейсону Шрайеру, The Last of Us: Part 2 выйдет этой осенью, а Ghost of Tsushima в начале 2020-го. Но возможны переносы.

После релиза PS5 обе игры должны получить обновлённые версии.",http://stopga.me/104291
756,"Роберт Дауни-младший залил в Instagram видео о том, как смешно выглядит прыгающий Холланд на съёмках «Мстители: Финал»... Ладно, он про обнимашки.",http://stopga.me/104291
338,"Песня довольно ""легкая"" для творчества Eskimo Callboy в целом. Но наконец-то разработчики вспомнили, что можно использовать тяжёлые композиции для саундтрека к своим играм!",http://stopga.me/104291
148,"🥀 Сложно отрицать, что жемчужины всегда остаются в андеграунде. Ремигуш Михальски — особенный геймдизайнер и сценарист. Некогда медбрат в психбольнице, а сейчас — успешный игровой сказочник, в рассказах которого нет места «цветочкам и радуге». Это пользовательский обзор Lorelai. 

stopgame.ru/blogs/topic/95724",https://stopgame.ru/blogs/topic/95724
808,"Бывший программист физики из Rockstar Toront Hан Ma спалил, что ведётся разработка Red Dead Redemption 2 для PC. Это уже второй девелопер, оставляющий упоминание порта в портфолио на LinkedIn.",https://stopgame.ru/blogs/topic/95724
242,Семь минут игрового процесса Marvel Ultimate Alliance 3: The Black Order,https://stopgame.ru/blogs/topic/95724
